window,model,target,n_slates,recall@5,ndcg@5,hitrate@5,recall@10,ndcg@10,hitrate@10,recall@20,ndcg@20,hitrate@20,mrr,map@10,coverage_catalogue,diversite,nouveaute,concentration_top10,train_seconds,peak_memory_mb
3,popularite_globale_v1,added_to_cart_after,7635,0.021741977734119188,0.013312749669963524,0.021741977734119188,0.021741977734119188,0.013312749669963524,0.021741977734119188,0.021741977734119188,0.013312749669963524,0.021741977734119188,0.01056756166775813,0.010561012879283998,0.15865384615384615,0.004322200392927309,4.182913589611358,0.9346430910281598,0.0,65.154
3,popularite_recente,added_to_cart_after,7635,0.021741977734119188,0.013932986182277583,0.021741977734119188,0.021741977734119188,0.013932986182277583,0.021741977734119188,0.021741977734119188,0.013932986182277583,0.021741977734119188,0.011410172451429819,0.011320672342283344,0.2403846153846154,0.006548788474132285,5.194516281485482,0.9147347740667976,0.0,65.154
3,popularite_categorie,added_to_cart_after,7635,0.021741977734119188,0.013148576714106911,0.021741977734119188,0.021741977734119188,0.013148576714106911,0.021741977734119188,0.021741977734119188,0.013148576714106911,0.021741977734119188,0.010436585898275487,0.010309975987775595,0.20192307692307693,0.00550098231827112,5.280073745606525,0.9245579567779961,0.0187,65.154
3,cooccurrence,added_to_cart_after,7635,0.021741977734119188,0.013038000104514676,0.021741977734119188,0.021741977734119188,0.013038000104514676,0.021741977734119188,0.021741977734119188,0.013038000104514676,0.021741977734119188,0.010200829513206722,0.01019428072473259,0.34134615384615385,0.009299279633267845,4.4093543136965145,0.9077930582842174,2.7246,65.154
3,hybride_popularite_affinite,added_to_cart_after,7635,0.021741977734119188,0.013371250300950033,0.021741977734119188,0.021741977734119188,0.013371250300950033,0.021741977734119188,0.021741977734119188,0.013371250300950033,0.021741977734119188,0.010641781270464964,0.01063523248199083,0.17307692307692307,0.004715127701375246,4.195145343420092,0.9273084479371316,0.0,65.154
3,LightGBM_LambdaRank,added_to_cart_after,7635,0.021741977734119188,0.013507029614805188,0.021741977734119188,0.021741977734119188,0.013507029614805188,0.021741977734119188,0.021741977734119188,0.013507029614805188,0.021741977734119188,0.010853525431128575,0.01078803754638725,0.4567307692307692,0.012442698100851343,8.199923887288868,0.8316961362148002,2.4478,65.154
3,CatBoostRanker,added_to_cart_after,7635,0.021741977734119188,0.013937560846383517,0.021741977734119188,0.021741977734119188,0.013937560846383517,0.021741977734119188,0.021741977734119188,0.013937560846383517,0.021741977734119188,0.011357782143636759,0.011357782143636759,0.4567307692307692,0.012442698100851343,8.323357908515366,0.7711853307138179,19.1866,65.154
3,XGBoost_Ranker,added_to_cart_after,7635,0.021741977734119188,0.013898574522476316,0.021741977734119188,0.021741977734119188,0.013898574522476316,0.021741977734119188,0.021741977734119188,0.013898574522476316,0.021741977734119188,0.011353416284654007,0.011309757694826457,0.4230769230769231,0.011525867714472823,9.098676606332209,0.8574983628028815,3.761,65.154
3,pointwise_conversion,added_to_cart_after,7635,0.021741977734119188,0.013345294049636521,0.021741977734119188,0.021741977734119188,0.013345294049636521,0.021741977734119188,0.021741977734119188,0.013345294049636521,0.021741977734119188,0.010683256930801134,0.010589390962671905,0.47115384615384615,0.01283562540929928,10.151752135934501,0.8197773411918795,1.5665,65.154
3,RRF,added_to_cart_after,7635,0.021741977734119188,0.013175659067423517,0.021741977734119188,0.021741977734119188,0.013175659067423517,0.021741977734119188,0.021741977734119188,0.013175659067423517,0.021741977734119188,0.010406024885396202,0.010344902859637633,0.23076923076923078,0.006286836935166994,4.222930974436756,0.9244269810085134,0.0,65.154
4,popularite_globale_v1,added_to_cart_after,7934,0.019536173430804132,0.011828442032104456,0.019536173430804132,0.019536173430804132,0.011828442032104456,0.019536173430804132,0.019536173430804132,0.011828442032104456,0.019536173430804132,0.009322745987732124,0.009331148642971179,0.16826923076923078,0.004411394000504159,4.5303535516658355,0.9416435593647593,0.0,82.331
4,popularite_recente,added_to_cart_after,7934,0.019536173430804132,0.012365511631780636,0.019536173430804132,0.019536173430804132,0.012365511631780636,0.019536173430804132,0.019536173430804132,0.012365511631780636,0.019536173430804132,0.010060078984959246,0.009994958406856566,0.27884615384615385,0.007310310057978321,5.772129277630329,0.8652634232417444,0.0,82.331
4,popularite_categorie,added_to_cart_after,7934,0.019536173430804132,0.011601880644793663,0.019536173430804132,0.019536173430804132,0.011601880644793663,0.019536173430804132,0.019536173430804132,0.011601880644793663,0.019536173430804132,0.009049659692462818,0.009011847743887068,0.22596153846153846,0.005923871943534157,6.75321203606937,0.9122762793042601,0.0222,82.331
4,cooccurrence,added_to_cart_after,7934,0.019536173430804132,0.011655996871022076,0.019536173430804132,0.019536173430804132,0.011655996871022076,0.019536173430804132,0.019536173430804132,0.011655996871022076,0.019536173430804132,0.009089572304848331,0.009108478279136207,0.3125,0.008192588858079154,4.770579224660643,0.8826569195865893,3.546,82.331
4,hybride_popularite_affinite,added_to_cart_after,7934,0.019536173430804132,0.012092021015582531,0.019536173430804132,0.019536173430804132,0.012092021015582531,0.019536173430804132,0.019536173430804132,0.012092021015582531,0.019536173430804132,0.009692462818250569,0.009669355516343165,0.1778846153846154,0.004663473657675826,4.497152472588507,0.935089488278296,0.0,82.331
4,LightGBM_LambdaRank,added_to_cart_after,7934,0.019536173430804132,0.01200285682542797,0.019536173430804132,0.019536173430804132,0.01200285682542797,0.019536173430804132,0.019536173430804132,0.01200285682542797,0.019536173430804132,0.009555919670615915,0.009539114360137805,0.44711538461538464,0.01172170405848248,6.38234646322677,0.7752709856314596,2.8208,82.331
4,CatBoostRanker,added_to_cart_after,7934,0.019536173430804132,0.012417783766360439,0.019536173430804132,0.019536173430804132,0.012417783766360439,0.019536173430804132,0.019536173430804132,0.012417783766360439,0.019536173430804132,0.010123098899252163,0.010074783631627593,0.4230769230769231,0.011091504915553314,7.379702717564446,0.7636753214015629,23.9188,82.331
