window,model,target,segment_type,segment_value,wape_micro,mae,rmse,forecast_bias,n
5,baseline_mediane_produit,margin_window_xof_7j,treatment_group,traitement_15pct,0.15677127816323114,7017.917808219178,15148.787587456067,-0.0022779370898894664,73
5,baseline_mediane_produit,margin_window_xof_7j,treatment_group,traitement_5pct,0.16490592715867008,11442.20945945946,29959.993872065283,0.03555603812187353,74
5,GLM_Poisson,margin_window_xof_7j,categorie,Alimentation & Epicerie,1.9534586278957367,8068.321334332063,13843.772000055977,1.876484946266002,40
5,GLM_Poisson,margin_window_xof_7j,categorie,Beaute & Soins,0.33098708713817965,5885.561462400781,11040.813083433804,-0.17660347554782097,39
5,GLM_Poisson,margin_window_xof_7j,categorie,Bebe & Enfant,0.3185773900035204,8718.00681061348,16999.804627268582,-0.0289337256812499,42
5,GLM_Poisson,margin_window_xof_7j,categorie,Electronique & High-Tech,0.3617125770407289,74430.06203669841,142855.66188937024,-0.020019085732617924,42
5,GLM_Poisson,margin_window_xof_7j,categorie,Maison & Cuisine,0.263900592866305,9623.893833074302,20857.366891076344,0.09052564703399898,32
5,GLM_Poisson,margin_window_xof_7j,categorie,Mode & Vetements,0.36936240980688934,15617.012049045088,28564.409546148945,-0.21154017342325604,34
5,GLM_Poisson,margin_window_xof_7j,categorie,Sport & Loisirs,0.2845354220458525,10220.654627598045,17163.211812594196,0.04416441533598469,30
5,GLM_Poisson,margin_window_xof_7j,categorie,Telephonie & Accessoires,0.2903694384202526,36424.7426419375,76445.88637706771,0.09435864228681592,41
5,GLM_Poisson,margin_window_xof_7j,classe_abc,A,0.31197133676751476,120409.78301697125,173726.4475512144,0.0312598849859246,36
5,GLM_Poisson,margin_window_xof_7j,classe_abc,B,0.29545660135865714,23563.17214370724,35186.65027533396,-0.07884007935666965,50
5,GLM_Poisson,margin_window_xof_7j,classe_abc,C,0.7346087368655079,5469.882923696145,10449.892186242756,0.1228431699390101,214
5,GLM_Poisson,margin_window_xof_7j,treatment_group,controle_0pct,0.3522225830349324,28611.842189754734,93762.97491816642,0.003525732342069706,76
5,GLM_Poisson,margin_window_xof_7j,treatment_group,traitement_10pct,0.4043478544551176,25729.29463402126,63274.01177248066,0.07720284257895174,77
