window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
2,60,baseline_mediane_produit,margin_window_xof_7j,0.15750105631895867,12945.258974358974,38682.201292845995,0.0027499545152675216,195,0.0039,10.103
2,60,GLM_Poisson,margin_window_xof_7j,0.32450572111150006,26671.63444251655,71881.88243405632,0.05680184065917472,195,0.3219,10.103
2,60,GLM_Tweedie,margin_window_xof_7j,0.33582440202420183,27601.934588353863,76194.89478691459,0.05938422256554321,195,0.2107,10.103
2,60,LightGBM_Poisson,margin_window_xof_7j,0.1895537012810645,15579.716161791164,39516.290858720655,0.012876127002403316,195,0.357,10.103
2,60,LightGBM_Tweedie,margin_window_xof_7j,0.17621264708097095,14483.19398189273,39109.39222260291,0.007618830341864654,195,0.3634,10.103
2,60,LightGBM_L1,margin_window_xof_7j,0.18976913310772583,15597.42284168671,48016.37517607989,-0.04469189651929309,195,0.3612,10.103
2,60,LightGBM_Monotone,margin_window_xof_7j,0.17688539384261562,14538.488093927223,39649.02397117443,0.0067462301897148235,195,0.3919,10.103
2,60,CatBoost_MAE,margin_window_xof_7j,0.2647791623756075,21762.614855259835,69369.1598802931,-0.07088374287312785,195,1.0909,10.103
2,60,Hurdle_zero_positif,margin_window_xof_7j,0.1637799149944072,13461.328221872318,37492.228291021245,0.013359347957473636,195,0.5092,10.103
2,60,S_learner,margin_window_xof_7j,0.17621264708097095,14483.19398189273,39109.39222260291,0.007618830341864654,195,0.3958,10.103
2,60,T_learner,margin_window_xof_7j,0.16300552401128848,13397.679811771633,40960.2771681313,0.006349099849901405,195,0.8365,10.103
2,60,Ensemble_contraint,margin_window_xof_7j,0.16717454195675457,13740.33793886073,38992.15749163715,0.008818225999029967,195,0.0,10.103
3,61,baseline_moyenne_produit,margin_window_xof_7j,0.1226809036028833,8954.350681268534,24467.80211929287,-0.013777766855572533,233,0.0043,9.076
3,61,baseline_mediane_produit,margin_window_xof_7j,0.10974263493105489,8010.0,23613.646210851144,-0.014987922800475537,233,0.0047,9.076
3,61,GLM_Poisson,margin_window_xof_7j,0.3219293465922768,23497.28588004252,68366.71310924145,0.030607983122613824,233,0.2593,9.076
3,61,GLM_Tweedie,margin_window_xof_7j,0.34413975192368856,25118.400106217025,76333.1646118011,0.032720344502651544,233,0.2463,9.076
