domain,target,model,wape_macro,wape_std,mae,rmse,bias,wape_micro_pooled,recall@5_mean,recall@10_mean,recall@20_mean,ndcg@5_mean,ndcg@10_mean,ndcg@20_mean,hitrate@10_mean,mrr_mean,map@10_mean,coverage_catalogue_mean,diversite_mean,nouveaute_mean,concentration_top10_mean
pricing,units_sold_window_7j,LightGBM_L1,0.2063232382118463,0.0150220136653291,0.8676370844289965,1.481018405816018,0.0650587055223366,0.2052903928248519,,,,,,,,,,,,,
pricing,units_sold_window_7j,GLM_Poisson,0.3395853178669404,0.008963089733423,1.4272731673354777,2.124049831912906,0.0817043749775102,0.3397153928851213,,,,,,,,,,,,,
pricing,units_sold_window_7j,GLM_Tweedie,0.3453020075508767,0.0091066381943451,1.4513462548870502,2.185883837646953,0.0787294156874277,0.3453981545122654,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,baseline_mediane_produit,0.1298924636754496,0.0233589526498838,49305.37989878571,145264.57445417758,0.0020317145978036,0.1291477191998438,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,baseline_moyenne_produit,0.1379263138685002,0.0225452593434701,52374.425956903455,143675.4227062066,0.0073860906701345,0.1371407476160129,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,T_learner,0.1384734699780651,0.0193350709655844,52533.27996245728,149794.71854529527,0.0085782921540338,0.1377575603810674,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,Ensemble_contraint,0.1439265065190778,0.0163344125668793,54382.91435008476,151105.68754370036,0.0138730001389181,0.1433436580237832,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,Hurdle_zero_positif,0.1478933455179775,0.0160647649169341,55804.1932123949,153703.53447591446,0.0168769418803609,0.147357494183535,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,LightGBM_Monotone,0.149317746649672,0.0157490770015678,56305.24504159166,155133.20290578282,0.0161637663823596,0.1488096518840086,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,S_learner,0.1493802782430707,0.0152429338874485,56340.22667681818,155255.33325411452,0.0162919765481983,0.1488807630702268,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,LightGBM_Tweedie,0.1493802782430707,0.0152429338874485,56340.22667681818,155255.33325411452,0.0162919765481983,0.1488807630702268,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,LightGBM_Poisson,0.1585245596928848,0.0130359908899104,59792.35292566149,153160.34056579228,0.0166483525341235,0.1580939919638559,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,LightGBM_L1,0.1595949394597429,0.0097088747045789,60097.225304929416,187874.4140525315,-0.0156820339390151,0.1593192923449811,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,CatBoost_MAE,0.1867843915567555,0.0145672248464596,70230.71737465456,220415.89616071488,-0.0156018605892982,0.1865580605064101,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,GLM_Poisson,0.2843642162781872,0.0185717046219281,106597.25160417584,290282.2886216429,0.0201564710734052,0.2842231342557677,,,,,,,,,,,,,
pricing,revenue_window_xof_7j,GLM_Tweedie,0.2939632423073283,0.0178342819624961,110255.1401109068,310053.2009222313,0.0180887243054245,0.2937641428946581,,,,,,,,,,,,,
pricing,margin_window_xof_7j,baseline_mediane_produit,0.1305197340907884,0.019887689945426,9338.471190078038,27149.987608973617,0.0003537603526692,0.1298010024394478,,,,,,,,,,,,,
pricing,margin_window_xof_7j,baseline_moyenne_produit,0.1385823240971405,0.0202198636440137,9923.93438221092,26859.691566641315,0.0043946767915052,0.1376804109612173,,,,,,,,,,,,,
pricing,margin_window_xof_7j,T_learner,0.1405982037457662,0.0138217838845172,10047.792021214636,27808.593371329112,0.0013765923403963,0.1398185691531783,,,,,,,,,,,,,
pricing,margin_window_xof_7j,Ensemble_contraint,0.1469379218708292,0.0143901321523454,10498.323309874191,27992.972153253188,0.0055470209988553,0.1461620415525252,,,,,,,,,,,,,
pricing,margin_window_xof_7j,Hurdle_zero_positif,0.1510084997082665,0.0139877625228016,10777.741222928838,28190.167001063644,0.0108214175211358,0.1502961276969949,,,,,,,,,,,,,
pricing,margin_window_xof_7j,S_learner,0.1541941824092665,0.0152830884792411,11013.408750689669,28671.644750000796,0.0047844971564858,0.1534716718257549,,,,,,,,,,,,,
pricing,margin_window_xof_7j,LightGBM_Tweedie,0.1541941824092665,0.0152830884792411,11013.408750689669,28671.644750000796,0.0047844971564858,0.1534716718257549,,,,,,,,,,,,,
pricing,margin_window_xof_7j,LightGBM_Monotone,0.1544010176108982,0.0152954660333637,11030.619052965254,28890.189171824124,0.0044430531350337,0.1536662886937758,,,,,,,,,,,,,
pricing,margin_window_xof_7j,LightGBM_Poisson,0.1708973623350458,0.0118766828971741,12188.359056727184,29055.582330624307,0.0133020642077166,0.1702498628160396,,,,,,,,,,,,,
pricing,margin_window_xof_7j,LightGBM_L1,0.1955444306802719,0.0100315110528419,13864.10347941557,49100.35484877109,-0.0593609837295214,0.1956646924511738,,,,,,,,,,,,,
pricing,margin_window_xof_7j,CatBoost_MAE,0.2557033905587047,0.005245740753466,18189.59785332205,61411.24163637001,-0.0669343603281183,0.2553943268880503,,,,,,,,,,,,,
pricing,margin_window_xof_7j,GLM_Poisson,0.3334219420046015,0.0137419078746661,23679.05096608221,61587.39096970711,0.0310063951584977,0.3334466980330208,,,,,,,,,,,,,
pricing,margin_window_xof_7j,GLM_Tweedie,0.3494757014069047,0.0150254613419201,24817.60883901805,67566.08508820827,0.0328511931813287,0.3494577935219043,,,,,,,,,,,,,
recommendation,viewed_after_impression,CatBoostRanker,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.011944419020915,0.011944419020915,0.011944419020915,0.0193103365231247,0.0095468410223383,0.0095424730056313,0.4158653846153846,0.0111891230051381,7.620173339506188,0.776695973929947
recommendation,viewed_after_impression,XGBoost_Ranker,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0118474128771691,0.0118474128771691,0.0118474128771691,0.0193103365231247,0.0094335144855863,0.0094201137422749,0.4050480769230769,0.0109130782502609,7.643430820075153,0.7700724928134693
recommendation,viewed_after_impression,pointwise_conversion,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0117756491639135,0.0117756491639135,0.0117756491639135,0.0193103365231247,0.009330432722327,0.0093239552490041,0.4387019230769231,0.0118094815013555,7.54193870043424,0.7759410455689386
recommendation,viewed_after_impression,popularite_recente,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0116380414154941,0.0116380414154941,0.0116380414154941,0.0193103365231247,0.0091503768863969,0.0091360927804083,0.2584134615384615,0.0069600390955528,5.854981773427377,0.9037037856257824
recommendation,viewed_after_impression,hybride_popularite_affinite,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0116162236684216,0.0116162236684216,0.0116162236684216,0.0193103365231247,0.0091090925263679,0.009119648737121,0.1658653846153846,0.0044652129692327,4.364466028830101,0.9257606963077892
recommendation,viewed_after_impression,LightGBM_LambdaRank,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0115348831806314,0.0115348831806314,0.0115348831806314,0.0193103365231247,0.0090054937458422,0.0090027629262538,0.4375,0.0117779456515179,7.790288065459979,0.7719119415863607
recommendation,viewed_after_impression,cooccurrence,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0114896995427474,0.0114896995427474,0.0114896995427474,0.0193103365231247,0.0089489398727186,0.0089478132945563,0.3377403846153846,0.0091212789172005,4.6553470158373305,0.8865866193927016
recommendation,viewed_after_impression,RRF,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0113407999299693,0.0113407999299693,0.0113407999299693,0.0193103365231247,0.0087476313688816,0.0087514651792428,0.2536057692307692,0.0068467812667595,4.455491866664355,0.9186558996730582
recommendation,viewed_after_impression,popularite_globale_v1,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0113138283531606,0.0113138283531606,0.0113138283531606,0.0193103365231247,0.0087134749509819,0.0087152690700484,0.157451923076923,0.0042384992357776,4.30256249054397,0.9452594611275968
recommendation,viewed_after_impression,popularite_categorie,,,,,,,0.0193103365231247,0.0193103365231247,0.0193103365231247,0.0112757621542643,0.0112757621542643,0.0112757621542643,0.0193103365231247,0.0086753652102326,0.0086704084181749,0.2115384615384615,0.0057107623317999,6.506340184945955,0.9275797232710252
recommendation,added_to_cart_after,pointwise_conversion,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.0143755785161478,0.0143755785161478,0.0143755785161478,0.0225151585020696,0.0117350882474142,0.011694952870094,0.4423076923076923,0.0119135561624425,8.627598137196799,0.7714790570749195
recommendation,added_to_cart_after,XGBoost_Ranker,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.0143754116980659,0.0143754116980659,0.0143754116980659,0.0225151585020696,0.0117092253730721,0.0117037731316994,0.4254807692307692,0.0114592299923805,8.16629307366623,0.8188254140649098
recommendation,added_to_cart_after,CatBoostRanker,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.014289352069501,0.014289352069501,0.014289352069501,0.0225151585020696,0.0115961176865177,0.0115811424049315,0.4326923076923077,0.0116699849383849,7.838754080374675,0.7686956843234142
recommendation,added_to_cart_after,popularite_recente,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.0142031597246133,0.0142031597246133,0.0142031597246133,0.0225151585020696,0.0115197713780618,0.0114589527333902,0.2584134615384615,0.0069600390955528,5.854981773427377,0.9037037856257824
recommendation,added_to_cart_after,LightGBM_LambdaRank,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.0141669954616937,0.0141669954616937,0.0141669954616937,0.0225151585020696,0.0114433326797209,0.0114126553318945,0.4362980769230769,0.011762072732067,8.121248384006368,0.8040390132949431
recommendation,added_to_cart_after,hybride_popularite_affinite,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.0137534282201003,0.0137534282201003,0.0137534282201003,0.0225151585020696,0.0109011449753822,0.0108978199289072,0.1658653846153846,0.0044652129692327,4.364466028830101,0.9257606963077892
recommendation,added_to_cart_after,popularite_categorie,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.013646953105379,0.013646953105379,0.013646953105379,0.0225151585020696,0.0107902434022896,0.0107434631507188,0.2115384615384615,0.0057107623317999,6.506340184945955,0.9275797232710252
recommendation,added_to_cart_after,RRF,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.013536229213126,0.013536229213126,0.013536229213126,0.0225151585020696,0.0106233513422213,0.0106134880188048,0.2536057692307692,0.0068467812667595,4.455491866664355,0.9186558996730582
recommendation,added_to_cart_after,popularite_globale_v1,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.0133482615693634,0.0133482615693634,0.0133482615693634,0.0225151585020696,0.0103696788886447,0.0103683899369987,0.157451923076923,0.0042384992357776,4.30256249054397,0.9452594611275968
recommendation,added_to_cart_after,cooccurrence,,,,,,,0.0225151585020696,0.0225151585020696,0.0225151585020696,0.013254291249224,0.013254291249224,0.013254291249224,0.0225151585020696,0.0102563153943505,0.0102455832550977,0.3377403846153846,0.0091212789172005,4.6553470158373305,0.8865866193927016
recommendation,purchased_after,CatBoostRanker,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0125754429551946,0.0125754429551946,0.0125754429551946,0.0194224075344506,0.0103384391203642,0.010309943699459,0.4158653846153846,0.0112353976366974,6.7346697957868775,0.7553533469721946
recommendation,purchased_after,XGBoost_Ranker,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0125109054229668,0.0125109054229668,0.0125109054229668,0.0194224075344506,0.0102773511464621,0.0102234268056531,0.4206730769230769,0.011328142462207,7.545332923651441,0.7657532794635932
recommendation,purchased_after,pointwise_conversion,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0124649090068836,0.0124649090068836,0.0124649090068836,0.0194224075344506,0.0101855030642523,0.0101640454655466,0.4543269230769231,0.0122490310838089,7.445658330950329,0.7590249042103983
recommendation,purchased_after,popularite_recente,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0124131884476771,0.0124131884476771,0.0124131884476771,0.0194224075344506,0.0101516750278469,0.0100908563831752,0.2584134615384615,0.0069600390955528,5.854981773427377,0.9037037856257824
recommendation,purchased_after,LightGBM_LambdaRank,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0123985968861116,0.0123985968861116,0.0123985968861116,0.0194224075344506,0.0101149524705975,0.0100691844536554,0.4314903846153846,0.0116314240547302,7.834014287911724,0.755690232181239
recommendation,purchased_after,hybride_popularite_affinite,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0119876261816451,0.0119876261816451,0.0119876261816451,0.0194224075344506,0.0095625032422885,0.0095591781958135,0.1658653846153846,0.0044652129692327,4.364466028830101,0.9257606963077892
recommendation,purchased_after,popularite_categorie,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0118243892919725,0.0118243892919725,0.0118243892919725,0.0194224075344506,0.0093750953018058,0.009328315050235,0.2115384615384615,0.0057107623317999,6.506340184945955,0.9275797232710252
recommendation,purchased_after,RRF,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0117685479621566,0.0117685479621566,0.0117685479621566,0.0194224075344506,0.0092829090427873,0.0092730457193708,0.2536057692307692,0.0068467812667595,4.455491866664355,0.9186558996730582
recommendation,purchased_after,popularite_globale_v1,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0115827775955982,0.0115827775955982,0.0115827775955982,0.0194224075344506,0.0090325523421376,0.0090312633904916,0.157451923076923,0.0042384992357776,4.30256249054397,0.9452594611275968
recommendation,purchased_after,cooccurrence,,,,,,,0.0194224075344506,0.0194224075344506,0.0194224075344506,0.0115219706293427,0.0115219706293427,0.0115219706293427,0.0194224075344506,0.0089644599535841,0.0089537278143314,0.3377403846153846,0.0091212789172005,4.6553470158373305,0.8865866193927016
