window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,margin_error,mean_predicted_margin_xof,train_seconds,peak_memory_mb
2,60,LightGBM_Monotone,units_sold_window_7j,0.1845699699219695,0.7960171523301351,1.3117594920184559,0.04345496544371987,195,0.16563367864341913,86351.88090240059,0.4538,10.124
2,60,CatBoost_Poisson,units_sold_window_7j,0.1840763768492535,0.7938883740011393,1.3100383426691766,0.058288152136836184,195,0.15855395081895032,87289.4860074702,1.6883,10.124
2,60,Hurdle_zero_positif,units_sold_window_7j,0.18189357685204924,0.7844743493978124,1.2590063602462374,0.046091011764094476,195,0.16289075826158858,86797.8624539517,0.6035,10.124
2,60,S_learner,units_sold_window_7j,0.19275707959429836,0.8313266868656662,1.3545472388422526,0.049709658204171836,195,0.16727365058405683,86825.22074740785,0.4388,10.124
2,60,T_learner,units_sold_window_7j,0.17647644996552925,0.7611112534410774,1.2942253841085494,0.015830724531761268,195,0.15422619767465126,84530.81017041187,0.8744,10.124
2,60,Ensemble_contraint,units_sold_window_7j,0.17976795169426685,0.7753069096147611,1.262487681311904,0.03512556724652521,195,0.1598161479273296,85893.51784225472,0.0,10.124
3,61,baseline_moyenne_produit,units_sold_window_7j,0.13105207011118436,0.5371447508848972,0.950898499092904,0.011915600807618245,233,0.12268090360288333,71983.3280151307,0.0042,10.316
3,61,baseline_mediane_produit,units_sold_window_7j,0.11780104712041885,0.48283261802575106,0.9351275417360483,0.007853403141361256,233,0.10974263493105489,71895.0,0.0046,10.316
3,61,GLM_Poisson,units_sold_window_7j,0.338181298598879,1.3861078976906844,2.130432600748,0.09424758394947155,233,0.33636225290943067,77926.87539976666,0.0533,10.316
3,61,GLM_Tweedie,units_sold_window_7j,0.3434734849622294,1.4077990478065625,2.189941398194977,0.0946326564190391,233,0.35235643499402214,79424.8829288159,0.0491,10.316
3,61,LightGBM_Poisson,units_sold_window_7j,0.2069061230328956,0.8480487017013532,1.4092056433419136,0.0679516963667125,233,0.21722334239542251,76424.7469935659,0.4028,10.316
3,61,LightGBM_Tweedie,units_sold_window_7j,0.18889311172954062,0.7742185480760141,1.3333990459049923,0.06311705048738626,233,0.19654146832594122,76515.01755264823,0.3557,10.316
3,61,LightGBM_L1,units_sold_window_7j,0.22202144493606174,0.9100020597164762,1.6192171073128803,0.07703220676178882,233,0.23066191377025816,76911.357444691,0.3975,10.316
3,61,LightGBM_Monotone,units_sold_window_7j,0.18642243911949222,0.764091971498348,1.327657088176175,0.061567782556638646,233,0.1932462769854411,76183.36205542365,0.4798,10.316
3,61,CatBoost_Poisson,units_sold_window_7j,0.1828155324153559,0.7493082980972742,1.2581125185410615,0.0712826618361712,233,0.18228753024879196,77047.54220180742,1.6781,10.316
3,61,Hurdle_zero_positif,units_sold_window_7j,0.17296358100187217,0.7089279822179739,1.218063756099482,0.06770703260078804,233,0.17576553774526513,77022.63844365616,0.6391,10.316
3,61,S_learner,units_sold_window_7j,0.18889311172954062,0.7742185480760141,1.3333990459049923,0.06311705048738626,233,0.19654146832594122,76515.01755264823,0.3553,10.316
3,61,T_learner,units_sold_window_7j,0.16095745073593823,0.6597183066644678,1.139975888815692,0.0389910263055174,233,0.150454024076613,74955.65288160747,0.7994,10.316
3,61,Ensemble_contraint,units_sold_window_7j,0.17174218293262164,0.7039218227495866,1.205985824551756,0.05608861382098133,233,0.1716708926579361,76053.88446022909,0.0,10.316
4,62,baseline_moyenne_produit,units_sold_window_7j,0.13947505445674896,0.5681625964157867,1.042056375045725,0.015725049897977576,299,0.13297115375034033,65378.657665478386,0.0042,10.545
4,62,baseline_mediane_produit,units_sold_window_7j,0.13628899835796388,0.5551839464882943,1.087324352477971,0.0090311986863711,299,0.13154565502983626,64986.82608695652,0.0044,10.545
