window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
2,60,baseline_moyenne_produit,revenue_window_xof_7j,0.16794348370577378,76404.5030241377,213895.1619491041,0.014014490720099177,195,0.003,10.089
2,60,baseline_mediane_produit,revenue_window_xof_7j,0.1608376928094103,73171.78205128205,216590.0485928132,0.007937443262672048,195,0.0045,10.089
2,60,GLM_Poisson,revenue_window_xof_7j,0.26808954347878816,121965.12709805461,346707.6350775228,0.018084596337976027,195,0.2262,10.089
2,60,GLM_Tweedie,revenue_window_xof_7j,0.2771768408589881,126099.31810592432,360370.8596711549,0.015157216717763725,195,0.2025,10.089
2,60,LightGBM_Poisson,revenue_window_xof_7j,0.1703277409390993,77489.20119148717,213076.66770262466,0.016443997274636645,195,0.3608,10.089
2,60,LightGBM_Tweedie,revenue_window_xof_7j,0.15879339107933294,72241.74383680992,213005.43054447736,0.020626565981056957,195,0.3126,10.089
2,60,LightGBM_L1,revenue_window_xof_7j,0.16380092438880375,74519.87982306362,254584.04876163442,-0.008647060620938672,195,0.4134,10.089
2,60,LightGBM_Monotone,revenue_window_xof_7j,0.15740252069473065,71608.97882466628,210968.6457703336,0.019458152657980586,195,0.476,10.089
2,60,CatBoost_MAE,revenue_window_xof_7j,0.1846405712825268,84000.70533042854,296572.4555433709,-0.024795379873080434,195,1.0675,10.089
2,60,Hurdle_zero_positif,revenue_window_xof_7j,0.15680731905667936,71338.19674755912,212175.5574790703,0.020121658818349174,195,0.5973,10.089
2,60,S_learner,revenue_window_xof_7j,0.15879339107933294,72241.74383680992,213005.43054447736,0.020626565981056957,195,0.3477,10.089
2,60,T_learner,revenue_window_xof_7j,0.1649507423265029,75042.98001224424,227661.06509957818,0.011007536862525338,195,0.8095,10.089
2,60,Ensemble_contraint,revenue_window_xof_7j,0.15774989699415462,71767.01480757083,215360.29941350417,0.016862449446285045,195,0.0,10.089
3,61,baseline_moyenne_produit,revenue_window_xof_7j,0.12026355989270858,48431.037287416635,138283.18207642742,-0.022328498880694492,233,0.004,10.283
3,61,baseline_mediane_produit,revenue_window_xof_7j,0.10841854598200526,43660.96137339056,137453.0337100984,-0.025589750884376008,233,0.0037,10.283
3,61,GLM_Poisson,revenue_window_xof_7j,0.2756873765128582,111021.37358544802,331139.33042106323,-0.015374717128418645,233,0.2338,10.283
3,61,GLM_Tweedie,revenue_window_xof_7j,0.2920260137245534,117601.06529531532,359871.2005034358,-0.015932766230927667,233,0.2063,10.283
3,61,LightGBM_Poisson,revenue_window_xof_7j,0.15193698590953797,61186.16342712023,160798.80628068367,-0.011916136815272317,233,0.3746,10.283
3,61,LightGBM_Tweedie,revenue_window_xof_7j,0.1392315541389633,56069.5907896364,155229.18891905935,-0.011239601624350923,233,0.3444,10.283
3,61,LightGBM_L1,revenue_window_xof_7j,0.16695291501095696,67233.1906635069,219493.96497465647,-0.03658099251536345,233,0.3815,10.283
3,61,LightGBM_Monotone,revenue_window_xof_7j,0.13915698588480976,56039.561594586885,155694.88898675592,-0.012598198051143514,233,0.4164,10.283
3,61,CatBoost_MAE,revenue_window_xof_7j,0.2011055447087549,80986.71071424396,263590.3325171965,-0.03855552215331061,233,1.0921,10.283
3,61,Hurdle_zero_positif,revenue_window_xof_7j,0.1417980547634261,57103.13983435475,165202.73519318015,-0.013314184190402846,233,0.589,10.283
3,61,S_learner,revenue_window_xof_7j,0.1392315541389633,56069.5907896364,155229.18891905935,-0.011239601624350923,233,0.3749,10.283
3,61,T_learner,revenue_window_xof_7j,0.12623345012716258,50835.15684619709,150451.73376643882,-0.015149356065013634,233,0.7816,10.283
3,61,Ensemble_contraint,revenue_window_xof_7j,0.1345511161082271,54184.74330141757,155340.82814188505,-0.013687246102186652,233,0.0,10.283
4,62,baseline_moyenne_produit,revenue_window_xof_7j,0.13328989686012685,43170.18856756823,117177.49566755402,0.034611094812510255,299,0.0083,10.505
4,62,baseline_mediane_produit,revenue_window_xof_7j,0.12814893441079772,41505.1237458194,120525.64384864506,0.024059285984479088,299,0.0045,10.505
4,62,GLM_Poisson,revenue_window_xof_7j,0.2961874874085274,95929.7740037894,247152.06961024206,0.052496276828212264,299,0.2546,10.505
4,62,GLM_Tweedie,revenue_window_xof_7j,0.3074950372532206,99592.08503059467,265315.3100366611,0.05049657452220949,299,0.1917,10.505
