window,model,target,segment_type,segment_value,wape_micro,mae,rmse,forecast_bias,n
5,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Sport & Loisirs,0.09854596541484582,13066.823824205494,26668.004863413833,-0.0011078777618777568,30
5,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.176109486846228,112561.19033954747,219402.77272310806,0.004068307247412401,41
5,baseline_moyenne_produit,revenue_window_xof_7j,classe_abc,A,0.129438121520137,282145.7979658845,384493.6027505818,0.007257889254566881,36
5,baseline_moyenne_produit,revenue_window_xof_7j,classe_abc,B,0.11791866424368715,35851.33033213087,54049.273820640316,-0.014964739691114108,50
5,baseline_moyenne_produit,revenue_window_xof_7j,classe_abc,C,0.38884108317639454,11721.99602537796,38305.19576138183,-0.1207346681815309,214
5,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,controle_0pct,0.09937049137410892,30767.99371871276,108358.58413589011,-0.020174049114863504,76
5,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,traitement_10pct,0.1722466117305957,65782.30306858374,189630.9387880289,-0.015355884152359908,77
5,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,traitement_15pct,0.1573696201282557,49277.69239931238,112958.30489205586,-0.0009710658966636025,73
5,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,traitement_5pct,0.14212167436278755,46722.243091302014,126780.10594750676,0.021032278348671846,74
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.11699686903387228,4055.325,8518.732515756084,-0.0016783594054842756,40
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Beaute & Soins,0.1445611763299551,7969.179487179487,15939.033463280944,0.030956198332884485,39
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Bebe & Enfant,0.07936114907915626,8493.547619047618,16696.64358379509,-0.044003036257110106,42
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.12936185833538502,166097.85714285713,290936.9379554696,-0.014011470781639087,42
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Maison & Cuisine,0.12856902931845382,17870.34375,45992.24908238615,-0.09144786437739176,32
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Mode & Vetements,0.15438949527430473,16053.088235294117,42069.5805985191,0.07885531053417201,34
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Sport & Loisirs,0.09061041703799028,12014.6,31375.61639341396,0.003653195779568399,30
5,baseline_mediane_produit,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.1757126667966402,112307.56097560975,225140.4907487442,0.008473464128817413,41
5,baseline_mediane_produit,revenue_window_xof_7j,classe_abc,A,0.12804692546495242,279113.30555555556,383813.4237189485,0.009299576973138482,36
5,baseline_mediane_produit,revenue_window_xof_7j,classe_abc,B,0.10972412990109014,33359.91,55822.89174079931,-0.005516053446583676,50
5,baseline_mediane_produit,revenue_window_xof_7j,classe_abc,C,0.336753786868881,10151.773364485982,40793.898423022736,-0.2211132278445694,214
5,baseline_mediane_produit,revenue_window_xof_7j,treatment_group,controle_0pct,0.07772202818227752,24065.0,96218.30857619125,-0.01236963922452204,76
5,baseline_mediane_produit,revenue_window_xof_7j,treatment_group,traitement_10pct,0.1564136786850402,59735.58441558442,181418.9207048366,-0.02809671379405596,77
5,baseline_mediane_produit,revenue_window_xof_7j,treatment_group,traitement_15pct,0.1636905040531102,51256.97260273973,125466.86222784633,-0.006136864399624441,73
5,baseline_mediane_produit,revenue_window_xof_7j,treatment_group,traitement_5pct,0.15284083776270724,50246.14864864865,138921.57702649012,0.019609397910155996,74
5,GLM_Poisson,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.6008077198369385,20825.09204363699,37468.531087036325,0.4630012208307202,40
5,GLM_Poisson,revenue_window_xof_7j,categorie,Beaute & Soins,0.30025380135091484,16551.998921286853,30084.21867375075,0.05297062870416091,39
5,GLM_Poisson,revenue_window_xof_7j,categorie,Bebe & Enfant,0.29374922371837386,31438.21691923524,48162.129096093355,-0.014794185950078961,42
5,GLM_Poisson,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.2991908745547936,384154.67881892103,619846.3778178055,-0.007703488189055293,42
5,GLM_Poisson,revenue_window_xof_7j,categorie,Maison & Cuisine,0.3336775659756009,46379.231742332355,89477.61936887965,0.14395886678523115,32
5,GLM_Poisson,revenue_window_xof_7j,categorie,Mode & Vetements,0.3699094472208364,38462.39010468001,58614.99442261418,0.08392623238992647,34
5,GLM_Poisson,revenue_window_xof_7j,categorie,Sport & Loisirs,0.3087157296121721,40934.542917325816,69146.93657057021,0.05141198670446313,30
5,GLM_Poisson,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.26060752030269874,166568.4979385757,341619.03383632604,0.028505037574798782,41
5,GLM_Poisson,revenue_window_xof_7j,classe_abc,A,0.26112314551332827,569189.334586859,749988.6574497891,0.038675614644437535,36
5,GLM_Poisson,revenue_window_xof_7j,classe_abc,B,0.3051588523485575,92778.78857848227,136495.21942133602,-0.062443087627007884,50
5,GLM_Poisson,revenue_window_xof_7j,classe_abc,C,0.7212379587400756,21742.426023094977,45654.16023679749,0.011887376193639158,214
5,GLM_Poisson,revenue_window_xof_7j,treatment_group,controle_0pct,0.29076377949614923,90028.92123664841,270746.4057448017,-0.011940269007801726,76
5,GLM_Poisson,revenue_window_xof_7j,treatment_group,traitement_10pct,0.3599134937200332,137453.7257046,344270.2477830203,0.12993681484031372,77
5,GLM_Poisson,revenue_window_xof_7j,treatment_group,traitement_15pct,0.26491683054419385,82954.32165571845,192491.25228781623,-0.07537413519868634,73
5,GLM_Poisson,revenue_window_xof_7j,treatment_group,traitement_5pct,0.2590019103953317,85146.40903900594,238940.39602544848,0.01419345094075475,74
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.5093576253718891,17655.26487305598,30932.432021167908,0.3432142116091728,40
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Beaute & Soins,0.2812433784788447,15504.017188979122,28432.782025676337,0.019947908626261963,39
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Bebe & Enfant,0.28332461903769895,30322.534027890695,47964.579211671844,-0.018847610805819395,42
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.30984185137094916,397830.30506924196,671412.6265738305,-0.012005821685030857,42
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Maison & Cuisine,0.32968271174918273,45823.97034978962,88161.45375722737,0.13878171855120627,32
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Mode & Vetements,0.3497310506415088,36364.28375256594,55193.808972227365,0.07806438276452583,34
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Sport & Loisirs,0.3140725600112491,41644.838450848925,74761.58540627762,0.09963187609932896,30
5,GLM_Tweedie,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.26335700151823394,168325.84153192278,364709.8336831419,0.0310459534464207,41
5,GLM_Tweedie,revenue_window_xof_7j,classe_abc,A,0.2709069824487491,590515.8838823303,812161.2618053028,0.03820743002504222,36
5,GLM_Tweedie,revenue_window_xof_7j,classe_abc,B,0.29013296615784523,88210.40228602078,133356.662820668,-0.06439561071124443,50
5,GLM_Tweedie,revenue_window_xof_7j,classe_abc,C,0.6940761665078151,20923.607142158304,45257.14389561497,-0.020081845627651928,214
5,GLM_Tweedie,revenue_window_xof_7j,treatment_group,controle_0pct,0.2973743524171884,92075.7468415042,300075.48798834794,-0.011136041351782382,76
5,GLM_Tweedie,revenue_window_xof_7j,treatment_group,traitement_10pct,0.363945769606431,138993.68281464194,358639.93098522077,0.13873075135117882,77
5,GLM_Tweedie,revenue_window_xof_7j,treatment_group,traitement_15pct,0.26142549223328043,81861.06683813097,209277.07684969253,-0.09521832696059579,73
5,GLM_Tweedie,revenue_window_xof_7j,treatment_group,traitement_5pct,0.26598093877575973,87440.7519813716,263263.6496786608,0.010223594536657981,74
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.3074243035145237,10655.887409167306,13824.995559613393,0.19559366550992965,40
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Beaute & Soins,0.2077307571773914,11451.509533762,15321.54812191431,0.15733047990771765,39
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Bebe & Enfant,0.18747179389564733,20063.981269887758,28077.800163066546,0.03135976214942896,42
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.14954951390623114,192018.37478386264,333163.9588552253,-0.008272818445880795,42
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Maison & Cuisine,0.1732943437547597,24086.90109309028,41749.212529944816,0.0390951932428567,32
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Mode & Vetements,0.21485759319676534,22340.431228708385,35754.10845719962,0.07528360117787715,34
5,LightGBM_Poisson,revenue_window_xof_7j,categorie,Sport & Loisirs,0.16249361558104838,21546.04136676166,35003.73469850975,0.07539918487745312,30
